,School Campus,Intervention Type,Scanning Type,School Related,School Hours,Enforcment By,Restraints,Force,Top Charge,SummonsCharge,Classification,Incident Location,Scanning Incident,Greater Than 21,Type Of Force
540,IS 72(SI),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,,On-Site,N,,
541,IS 78(BS),Juvenile Report,Non-Scanning,Y,Y,PATROL,Yes,N,,,,On-Site,N,,
542,IS 78(BS),Juvenile Report,Non-Scanning,Y,Y,PATROL,Yes,N,,,,On-Site,N,,
543,IS 78(BS),Juvenile Report,Non-Scanning,Y,Y,PATROL,Yes,N,,,,On-Site,N,,
544,IS 8(QS),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,CRIM POS WEAPON,,F,On-Site,N,,
545,IS 84(XE),Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,,,,
546,IS 93(QN),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,,On-Site,N,,
547,IS 96(BS),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,On-Site,N,,
548,IS 98(XE),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,N,,
549,IS 98(XE),Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,,,,
550,IS 98(XE),Arrested,Non-Scanning,Y,Y,NON NYPD,Yes,N,CRIM MISCHIEF,,M,On-Site,N,,
551,IS/JHS 167(MN),Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,On-Site,,,
552,IS/JHS 180(XE),Arrested,Non-Scanning,Y,N,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
553,IS/JHS 206(XW),Juvenile Report,Non-Scanning,N,Y,PATROL,No Restraints,N,,,V,On-Site,N,,
554,IS/JHS 226(QS),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,GANG ASLT,,F,On-Site,N,,
555,IS/JHS 226(QS),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,GANG ASLT,,F,On-Site,N,,
556,IS/JHS 226(QS),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,GANG ASLT,,F,On-Site,N,,
557,IS/JHS 229(XW),Arrested,Non-Scanning,Y,N,PATROL,Yes,N,MENACING,,M,Off-Site,N,,
558,IS/JHS 383(BN),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,V,On-Site,N,,
559,IS/JHS 43(MN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
560,IS/JHS 99(MN),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,FORCIBLE TOUCH,,M,On-Site,N,,
561,JACQUELINE K ONASSIS HS(MS),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,Off-Site,N,,
562,JACQUELINE K ONASSIS HS(MS),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,Off-Site,N,,
563,JACQUELINE K ONASSIS HS(MS),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,V,On-Site,N,,
564,JACQUELINE K ONASSIS HS(MS),Juvenile Report,Non-Scanning,Y,Y,DOE,No Restraints,N,,,M,On-Site,N,,
565,JACQUELINE K ONASSIS HS(MS),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
566,JACQUELINE K ONASSIS HS(MS),Arrested,Non-Scanning,Y,Y,DB,Yes,N,GRAND LARCENY,,F,On-Site,N,,
567,JACQUELINE K ONASSIS HS(MS),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
568,JAMAICA HS(QS) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,N,,
569,JAMAICA HS(QS) ,Arrested,Full-Time,Y,Y,UTF,Yes,N,CRM SEX ACT,,F,On-Site,N,,
570,JAMAICA HS(QS) ,Arrested,Full-Time,Y,Y,UTF,Yes,N,SEX MISCONDUCT,,M,On-Site,N,,
571,JAMES MADISON HS(BS),Arrested,Full-Time,Y,Y,PATROL,Yes,N,CPCS,,M,On-Site,Y,,
572,JAMES MADISON HS(BS),Arrested,Full-Time,N,N,DB,Yes,N,RAPE,,F,Off-Site,N,,
573,JAMES MADISON HS(BS),Arrested,Full-Time,Y,Y,PATROL,Yes,N,CRIM POS WEAPON,,M,On-Site,Y,,
574,JAMES MADISON HS(BS),Arrested,Full-Time,Y,Y,PATROL,Yes,Y,RESIST ARREST,,M,On-Site,N,,
575,JAMES MADISON HS(BS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
576,JANE ADDAMS HS FOR ACADEMIC CAREERS(XE) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,F,On-Site,N,,
577,JANE ADDAMS HS FOR ACADEMIC CAREERS(XE) ,Summons,Unannounced,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
578,JANE ADDAMS HS FOR ACADEMIC CAREERS(XE) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
579,JANE ADDAMS HS FOR ACADEMIC CAREERS(XE) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,PETIT LARCENY,,M,On-Site,N,,
580,JANE ADDAMS HS FOR ACADEMIC CAREERS(XE) ,Arrested,Non-Scanning,N,N,PATROL,Yes,N,ROBBERY,,F,Off-Site,N,,
581,JHS 113(XE),Arrested,Random,N,N,DB,Yes,N,RAPE,,F,Off-Site,N,,
582,JHS 113(XE),Mitigated,Random,Y,Y,SSA,Yes,N,,,,On-Site,N,,
583,JHS 113(XE),Juvenile Report,Random,Y,Y,SSA,No Restraints,,,,M,On-Site,Y,,
584,JHS 113(XE),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,,On-Site,N,,
585,JHS 143(XW),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
586,JHS 143(XW),Summons,Non-Scanning,Y,N,SSA,Yes,Y,,DISCON: CREATE HAZARDOUS CONDITION,V,On-Site,N,,
587,JHS 145 Arturo Toscanini(XW),Summons,Unannounced,Y,Y,UTF,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
588,JHS 145 Arturo Toscanini(XW),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,GRAND LARCENY,,F,On-Site,N,,
589,JHS 166 George Gershwin(BN),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,LOITERING (SCHOOL),V,On-Site,N,,
590,JHS 166 George Gershwin(BN),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,LOITERING (SCHOOL),V,On-Site,N,,
591,JHS 190(QN),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,,
592,JHS 190(QN),Juvenile Report,Non-Scanning,Y,Y,PATROL,Yes,N,,,,Off-Site,N,,
593,JHS 190(QN),Juvenile Report,Non-Scanning,Y,Y,PATROL,Yes,N,,,,Off-Site,N,,
594,JHS 190(QN),Juvenile Report,Non-Scanning,Y,Y,PATROL,Yes,N,,,,Off-Site,N,,
595,JHS 217(QS),Arrested,Non-Scanning,N,N,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
596,JHS 22 JORDAN L. MOTT(XW),Juvenile Report,Non-Scanning,Y,Y,UTF,No Restraints,N,,,,On-Site,N,,
597,JHS 22 JORDAN L. MOTT(XW),Juvenile Report,Non-Scanning,Y,Y,UTF,No Restraints,N,,,,On-Site,N,,
598,JHS 231(QS),Arrested,Non-Scanning,N,Y,PATROL,Yes,N,ENDAN WEL CHILD,,M,On-Site,N,,
599,JHS 258 David Ruggles(BN),Arrested,Non-Scanning,N,N,PATROL,Yes,N,ASSAULT,,F,Off-Site,N,,
600,JHS 258 David Ruggles(BN),Arrested,Random,Y,N,PATROL,Yes,N,ROBBERY,,F,Off-Site,N,,
601,JHS 258 David Ruggles(BN),Arrested,Non-Scanning,N,N,DB,Yes,N,ROBBERY,,F,Off-Site,N,,
602,JHS 258 David Ruggles(BN),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,,
603,JHS 259 William McKinley(BS),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,,On-Site,N,,
604,JHS 292(BN),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,,
605,JHS 292(BN),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,MENACING,,M,On-Site,N,,
606,JHS 318(BN),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,,
607,JHS 318(BN),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,,
608,JHS 318(BN),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,,
609,JM Rapport School for Career Development(XW),Arrested,Full-Time,Y,Y,DB,Yes,N,ROBBERY,,F,Off-Site,N,,
610,JM Rapport School for Career Development(XW),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
611,JM Rapport School for Career Development(XW),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
612,JM Rapport School for Career Development(XW),Arrested,Full-Time,Y,Y,PATROL,Yes,N,ROBBERY,,F,Off-Site,N,,
613,JM Rapport School for Career Development(XW),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
614,JM Rapport School for Career Development(XW),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
615,JM Rapport School for Career Development(XW),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
616,JM Rapport School for Career Development(XW),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
617,JM Rapport School for Career Development(XW),Mitigated,Full-Time,Y,Y,SSA,Yes,Y,,,,On-Site,Y,,
618,JM Rapport School for Career Development(XW),Mitigated,Full-Time,Y,Y,SSA,Yes,Y,,,,On-Site,Y,,
619,JOHN ADAMS EVENING T/R(QS),Arrested,Full-Time,N,N,DB,Yes,N,ROBBERY,,F,Off-Site,N,,
620,JOHN ADAMS HS(QS),Arrested,Full-Time,Y,Y,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
621,JOHN ADAMS HS(QS),Arrested,Full-Time,Y,Y,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
622,JOHN ADAMS HS(QS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
623,JOHN ADAMS HS(QS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
624,JOHN ADAMS HS(QS),Juvenile Report,Full-Time,Y,Y,PATROL,No Restraints,N,,,M,On-Site,N,,
625,JOHN ADAMS HS(QS),Juvenile Report,Full-Time,Y,Y,PATROL,No Restraints,N,,,M,Off-Site,N,,
626,JOHN ADAMS HS(QS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
627,JOHN ADAMS HS(QS),Arrested,Full-Time,Y,Y,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
628,JOHN BOWNE HS(QS),Arrested,Non-Scanning,N,N,DB,Yes,N,ASSAULT,,M,Off-Site,N,,
629,JOHN BOWNE HS(QS),Summons,Non-Scanning,Y,Y,UTF,No Restraints,N,,POSS. OF KNIFE,V,On-Site,N,,
630,JOHN BOWNE HS(QS),Arrested,Non-Scanning,Y,Y,SSA,Yes,N,CPCS,,F,On-Site,N,,
631,JOHN BOWNE HS(QS),Summons,Non-Scanning,Y,Y,UTF,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
632,JOHN BOWNE HS(QS),Juvenile Report,Unannounced,Y,Y,DOE,No Restraints,N,,,M,On-Site,Y,,
633,JOHN BOWNE HS(QS),Arrested,Non-Scanning,Y,Y,UTF,Yes,N,CRIM CONTEMPT,,F,On-Site,N,,
634,JOHN BOWNE HS(QS),Arrested,Non-Scanning,Y,Y,UTF,Yes,N,CRIM CONTEMPT,,F,On-Site,N,,
635,JOHN BOWNE HS(QS),Summons,Unannounced,Y,Y,UTF,Yes,N,,TRESPASS,V,On-Site,N,,
636,JOHN BOWNE HS(QS),Summons,Random,Y,Y,UTF,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
637,JOHN DEWEY HS(BS) ,Arrested,Full-Time,Y,Y,PATROL,Yes,N,FORCIBLE TOUCH,,M,On-Site,N,,
638,JOHN F. KENNEDY HS(XW),Arrested,Full-Time,Y,Y,UTF,Yes,N,ASSAULT,,M,On-Site,N,,
639,JOHN F. KENNEDY HS(XW),Juvenile Report,Full-Time,Y,Y,PATROL,No Restraints,N,,,,On-Site,N,,
640,JOHN F. KENNEDY HS(XW),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
641,JOHN JAY HS(BS),Mitigated,Full-Time,Y,Y,SSA,Yes,N,,,,On-Site,N,,
642,JUAN MOREL CAMPOS SECONDARY SCH-IS 71K(BN),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
643,KAPPA IV(MN),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,V,On-Site,N,,
644,KAPPA V(BN),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,On-Site,N,,
645,Khalil Gibran International Academy(BN),Arrested,Non-Scanning,Y,Y,SSA,Yes,N,CPSP,,M,On-Site,N,,
646,Khalil Gibran International Academy(BN),Arrested,Non-Scanning,Y,Y,SSA,Yes,N,MENACING,,M,On-Site,N,,
647,Khalil Gibran International Academy(BN),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,N,,
648,Kings Collegiate Charter School(BS),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,BURGLARY,,F,On-Site,N,,
649,KINGSBRIDGE INTERNATIONAL HS(XW),Summons,Full-Time,Y,Y,UTF,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
650,Kurt Hahn Expeditionary Learning School(BS),Arrested,Full-Time,N,N,DB,Yes,N,RAPE,,F,Off-Site,N,,
651,Kurt Hahn Expeditionary Learning School(BS),Arrested,Full-Time,N,N,DB,Yes,N,RAPE,,F,Off-Site,N,,
652,La Cima Charter School(BN),Juvenile Report,Non-Scanning,Y,N,PATROL,No Restraints,N,,,M,Off-Site,N,,
653,LANDMARK HS(MS) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,On-Site,N,,
654,LEADERSHIP & PUBLIC SERVICE HS(MS) ,Summons,Non-Scanning,Y,Y,PATROL,Yes,Y,,HARASSMENT,V,On-Site,N,,
655,LEADERSHIP & PUBLIC SERVICE HS(MS) ,Summons,Non-Scanning,Y,Y,PATROL,Yes,Y,,DISCON: FIGHTING,V,On-Site,N,,
656,LEADERSHIP & PUBLIC SERVICE HS(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISORDERLY CONDUCT,V,On-Site,N,,
657,LEADERSHIP & PUBLIC SERVICE HS(MS) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,Y,RESIST ARREST,,M,On-Site,N,,
658,LEON M. GOLDSTEIN HS FOR THE SCIENCES(BS) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,CRIM POS WEAPON,,M,On-Site,N,,
659,Liberation Diploma Plus HS(BS),Summons,Unannounced,Y,Y,PATROL,Yes,N,,DISORDERLY CONDUCT,V,On-Site,N,,
660,LIBERTY HS ACADEMY FOR NEWCOMERS(MS) ,Summons,Non-Scanning,Y,Y,SSA,Yes,N,,DISCON: FIGHTING,V,On-Site,N,,
661,LIFE SCIENCES SECONDARY SCHOOL(MN) ,Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,,
662,LIFE SCIENCES SECONDARY SCHOOL(MN) ,Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,,
663,LIFE SCIENCES SECONDARY SCHOOL(MN) ,Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,V,On-Site,N,,
664,LIFE SCIENCES SECONDARY SCHOOL(MN) ,Mitigated,Non-Scanning,Y,Y,SSA,Yes,N,,,,On-Site,N,,
665,LONG ISLAND CITY HS(QN) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
666,LONG ISLAND CITY HS(QN) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
667,LONG ISLAND CITY HS(QN) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
668,LONG ISLAND CITY HS(QN) ,Arrested,Non-Scanning,Y,Y,UTF,Yes,N,ASSAULT,,M,On-Site,N,,
669,LOUIS D. BRANDEIS HS(MN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
670,LOUIS D. BRANDEIS HS(MN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
671,Lyons Community School(BN),Juvenile Report,Unannounced,Y,Y,SSA,No Restraints,N,,,M,On-Site,Y,,
672,Lyons Community School(BN),Juvenile Report,Unannounced,Y,Y,SSA,No Restraints,N,,,M,On-Site,Y,,
673,Lyons Community School(BN),Summons,Unannounced,Y,Y,UTF,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
674,Manhattan ALC Battery Park(MS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
675,Manhattan ALC Battery Park(MS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
676,Manhattan ALC Battery Park(MS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
677,Manhattan ALC Battery Park(MS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
678,Manhattan ALC Battery Park(MS),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
679,Manhattan ALC Battery Park(MS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
680,Manhattan ALC Battery Park(MS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
681,Manhattan ALC Battery Park(MS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
682,Manhattan ALC Boys Club of NY(MS),Summons,Full-Time,Y,Y,PATROL,Yes,N,,DISCON: FIGHTING,V,On-Site,Y,,
683,Manhattan ALC Boys Club of NY(MS),Arrested,Full-Time,Y,Y,SSA,Yes,N,ASSAULT,,M,On-Site,N,,
684,Manhattan ALC Boys Club of NY(MS),Arrested,Full-Time,Y,Y,SSA,Yes,N,ASSAULT,,M,On-Site,N,,
685,Manhattan ALC Boys Club of NY(MS),Arrested,Full-Time,Y,Y,PATROL,Yes,N,GRAND LARCENY,,F,Off-Site,N,,
686,Manhattan ALC Boys Club of NY(MS),Arrested,Full-Time,Y,Y,DB,Yes,N,ROBBERY,,F,Off-Site,N,,
687,Manhattan ALC Boys Club of NY(MS),Arrested,Full-Time,N,N,DB,Yes,N,ROBBERY,,F,Off-Site,N,,
688,Manhattan ALC Boys Club of NY(MS),Arrested,Full-Time,N,N,DB,Yes,N,ROBBERY,,F,Off-Site,N,,
689,MANHATTAN BRIDGES HS(MS) ,Arrested,Full-Time,Y,Y,DB,Yes,N,GRAND LARCENY,,F,On-Site,N,,
690,Manhattan Center For Science & Mathematics(MN),Juvenile Report,Non-Scanning,Y,Y,SSA,Yes,N,,,,On-Site,N,,
691,MANHATTAN COMPREHENSIVE DAY & NIGHT HS(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
692,Manhattan School for Career Development P751(MS),Juvenile Report,Non-Scanning,N,Y,PATROL,Yes,N,,,,On-Site,N,,
693,Manhattan South Borough Office,Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,V,On-Site,N,,
694,MARTIN VAN BUREN HS(QS),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,CSCS,,F,On-Site,N,,
695,MARTIN VAN BUREN HS(QS),Summons,Unannounced,Y,Y,UTF,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
696,MARTIN VAN BUREN HS(QS),Juvenile Report,Non-Scanning,N,Y,PATROL,No Restraints,N,,,M,Off-Site,N,,
697,MARTIN VAN BUREN HS(QS),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,N,,
698,MARTIN VAN BUREN HS(QS),Arrested,Non-Scanning,Y,Y,DB,Yes,N,ASSAULT,,M,On-Site,N,,
699,MARTIN VAN BUREN HS(QS),Arrested,Non-Scanning,N,N,PATROL,Yes,N,ROBBERY,,F,On-Site,N,,
700,MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS(QS),Arrested,Full-Time,N,N,DB,Yes,N,ASSAULT,,M,Off-Site,N,,
701,MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS(QS),Arrested,Full-Time,Y,Y,UTF,Yes,N,ASSAULT,,F,Off-Site,N,,
702,MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS(QS),Arrested,Full-Time,Y,Y,UTF,Yes,N,ASSAULT,,F,Off-Site,N,,
703,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,PUBLIC LEWDNESS,,M,On-Site,N,,
704,Metropolitan Diploma Plus HS(BN),Summons,Non-Scanning,Y,Y,PATROL,Yes,N,,DISCON: FIGHTING,V,On-Site,N,,
705,Metropolitan Diploma Plus HS(BN),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
706,Metropolitan Diploma Plus HS(BN),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
707,Metropolitan Diploma Plus HS(BN),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
708,Metropolitan Expeditionary Learning School(QN),Juvenile Report,Random,Y,Y,SSA,No Restraints,N,,,,On-Site,N,,
709,MICHAEL J. PETRIDES HS(SI) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,N,,
710,MICHAEL J. PETRIDES HS(SI) ,Arrested,Non-Scanning,Y,Y,SSA,Yes,N,CRIM POS WEAPON,,M,On-Site,N,,
711,MICHAEL J. PETRIDES HS(SI) ,Summons,Non-Scanning,Y,Y,UTF,No Restraints,N,,POSS. OF MACE,V,On-Site,N,,
712,MIDWOOD HS(BS),Mitigated,Non-Scanning,Y,Y,SSA,Yes,N,,,,On-Site,N,,
713,MIDWOOD HS(BS),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,V,On-Site,N,,
714,MIDWOOD HS(BS),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
715,Monroe Academy Annex(XE),Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,,,,
716,Monroe Academy Annex(XE),Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,,,,
717,MONROE ACADEMY FOR BUSINESS & LAW(XE) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
718,MONROE ACADEMY FOR BUSINESS & LAW(XE) ,Summons,Full-Time,Y,Y,SSA,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
719,MONROE ACADEMY FOR BUSINESS & LAW(XE) ,Mitigated,Full-Time,Y,Y,SSA,Yes,N,,,,On-Site,Y,,
720,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Summons,Full-Time,Y,Y,PATROL,Yes,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
721,MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,Summons,Full-Time,Y,Y,PATROL,Yes,N,,POSS. OF KNIFE,V,On-Site,Y,,
722,MORRIS ACADEMY FOR COLLABORATIVE STUDIES(XE),Juvenile Report,Full-Time,Y,Y,,No Restraints,N,,,V,On-Site,Y,,
723,MORRIS ACADEMY FOR COLLABORATIVE STUDIES(XE),Arrested,Full-Time,Y,Y,PATROL,Yes,N,ASSAULT,,F,Off-Site,N,,
724,MORRIS HS(XE),Arrested,Full-Time,N,N,DB,Yes,N,ROBBERY,,F,Off-Site,N,,
725,MORRIS HS(XE),Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,V,On-Site,Y,,
726,MORRIS HS(XE),Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,V,On-Site,Y,,
727,MORRIS HS(XE),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
728,MOTT HALL BRONX HS(XE),Arrested,Non-Scanning,Y,Y,SSA,Yes,Y,OBS GOVT ADMIN,,F,On-Site,N,,
729,MOTT HALL HS(MN),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,On-Site,N,,
730,MOTT HALL HS(MN),Arrested,Non-Scanning,Y,Y,SSA,Yes,N,ASSAULT,,F,On-Site,N,,
731,MOTT HALL HS(MN),Arrested,Non-Scanning,Y,Y,SSA,Yes,N,ASSAULT,,M,On-Site,N,,
732,MOTT HALL HS(MN),Summons,Non-Scanning,Y,Y,PATROL,Yes,N,,POSS. OF KNIFE,V,On-Site,N,,
733,Mott Hall IV(BN),Juvenile Report,Non-Scanning,Y,Y,PATROL,Yes,N,,,,On-Site,N,,
734,Mott Hall IV(BN),Juvenile Report,Non-Scanning,Y,Y,PATROL,Yes,N,,,,On-Site,N,,
735,Mott Hall IV(BN),Juvenile Report,Non-Scanning,Y,Y,PATROL,Yes,N,,,,On-Site,N,,
736,Mott Hall IV(BN),Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,,,,
737,Mott Haven Community HS(XW),Arrested,Full-Time,N,N,PATROL,Yes,N,ROBBERY,,F,Off-Site,N,,
738,Mott Haven Community HS(XW),Arrested,Full-Time,N,N,PATROL,Yes,N,ROBBERY,,F,Off-Site,N,,
739,MS 118(BX),Juvenile Report,Non-Scanning,N,Y,PATROL,No Restraints,N,,,V,On-Site,N,,
740,MS 118(BX),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,V,On-Site,N,,
741,MS 118(BX),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,M,On-Site,N,,
742,MS 118(BX),Arrested,Non-Scanning,Y,N,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
743,MS 118(BX),Juvenile Report,Non-Scanning,Y,Y,UTF,No Restraints,N,,,,On-Site,N,,
744,MS 118(BX),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,,On-Site,N,,
745,MS 118(XW),Juvenile Report,Random,Y,Y,PATROL,No Restraints,N,,,M,Off-Site,N,,
