,SBHC Sponsor,SBHC Campus,Address,School DBN,School Name
161,NYU Langone FHC,South Shore Campus,"6565 Flatlands Avenue
Brooklyn, NY, 11236","18K566
18K567
18K576
18K578
18K637
79K925@K515
79Q950@K515
84K775","Brooklyn Community High School For Excellence And Equity
Brooklyn Theatre Arts High School Victory Collegiate High School Brooklyn Bridge Academy
Academy For Conservation And The Environment YABC
Pathways to Graduation
Leadership Preparatory Ocean Hill Charter School"
162,NYU Langone FHC,Sunset Park High School,"153 35 Street
Brooklyn, NY, 11232",15K667 K371@15K667,Sunset Park High School D75 Program
163,Research Foundation of SUNY,Roberto Clemente Campus,"557 Pennsylvania Avenue
Brooklyn, NY, 11207","19K013
84K358","P.S. 013 Roberto Clemente
Achievement First East New York Charter School"
164,"Research Foundation of
SUNY",PS 038 The Pacific,"450 Pacific Street
Brooklyn, NY, 11217",15K038,P.S. 038 The Pacific
165,"Research Foundation of
SUNY","JHS 051 William
Alexander","350 5 Avenue
Brooklyn, NY, 11215",15K051,M.S. 51 William Alexander
166,Research Foundation of SUNY,Stranahan Campus,"610 Henry Street
Brooklyn, NY, 11231","15K146
15K448","The Brooklyn New School, P.S. 146 Brooklyn Collaborative Studies"
167,Research Foundation of SUNY,Global Studies Campus,"284 Baltic Street
Brooklyn, NY, 11201","15K429
15K497
84K129 K368@15K429",Digital Arts And Cinema Technology High School The Boerum Hill School For International Studies Success Academy Charter School - Cobble Hill D75 Program
168,"Richmond University
Medical Center","Susan E. Wagner
High School","1200 Manor Road
Staten Island, NY, 10314",31R460,Susan E. Wagner High School
169,Urban Health Plan,Newtown Campus,"48-01 90 Street
Queens, NY, 11373","24Q236
24Q455",International High School For Health Sciences Newtown High School
170,Urban Health Plan,Elmhurst Campus,"45-10 94 Street
Queens, NY, 11373","24Q293
24Q296
24Q744 Q752@24Q744","Civic Leadership Academy
Pan American International High School Voyages Preparatory
D75 Program"
171,Urban Health Plan,"PS 048 Joseph R
Drake","1290 Spofford Avenue
Bronx, NY, 10474",08X048,P.S. 048 Joseph R. Drake
172,Urban Health Plan,333/335 Campus,"888 Rev James A Polite Avenue,
Bronx, NY, 10459",08X333 X010@08X333,The Longwood Academy Of Discovery D75 Program
173,Urban Health Plan,Fannie Lou Hamer Campus,"1001 Jennings Street
Bronx, NY, 10460","12X066
12X286",P.S. 066 School Of Higher Expectations Fannie Lou Hamer Middle School
174,Urban Health Plan,Hunts Point Campus,"730 Bryant Avenue
Bronx, NY, 10474","08X424
84X345 X352@08X424","The Hunts Point School
Hyde Leadership Charter School D75 Program"
175,Urban Health Plan,PS 075,"984 Faile Street
Bronx, NY, 10459",08X075 X352@08X075,P.S. 75 School Of Research And Discovery D75 Program
176,Urban Health Plan,X158 Campus,"800 Home Street
Bronx, NY, 10456","12X267
12X479
84X482","Bronx Latin
Bronx Career And College Preparatory High School
Dr. Richard Izquierdo Health And Science Charter School"
177,Urban Health Plan,PS 161 Ponce De Leon,"628 Tinton Avenue
Bronx, NY, 10455",07X161 X017@07X161,P.S. 161 Juan Ponce De Leon School D75 Program
178,Urban Health Plan,James Monroe Educational Campus,"1300 Boynton Avenue
Bronx, NY, 10472","12X388
12X521
12X550
79M379@X420
79M984@X420
84X597","Pan American International High School At Monroe The Metropolitan Soundview High School
High School Of World Cultures YABC
LYFE
Urban Assembly Charter School For Computer Science"
179,Urban Health Plan,James Monroe Educational Campus Annex,"1551 East 172 Street
Bronx, NY, 10472","12X242
12X478 X721@12XH21","Mott Hall V
The Cinema School D75 Program"
180,Urban Health Plan,Jane Addams Campus,"900 Tinton Avenue
Bronx, NY, 10456","08X559
79M984@X650
84X202","School For Tourism And Hospitality LYFE
New Visions Charter High School For Advanced Math And Science II"
181,William F Ryan,PS 011 William T Harris,"320 West 21 Street New York, NY, 10011",02M011,P.S. 011 William T. Harris
182,William F Ryan,JHS 054 Booker T Washington,"103 West 107 Street New York, NY, 10025",03M054,J.H.S. 054 Booker T. Washington
183,William F Ryan,PS 64 Campus,"600 East 6 Street New York, NY, 10009","01M064
01M364
01M839","P.S. 064 Robert Simon Earth School
Tompkins Square Middle School"
184,William F Ryan,"PS 180 Hugo
Newman","370 West 120 Street
New York, NY, 10027",03M180,P.S. 180 Hugo Newman
185,William F Ryan,The Island School Campus,"442 East Houston Street New York, NY, 10002","01M188
84M330 M094@01M188","P.S. 188 The Island School
Girls Preparatory Charter School Of New York D75 Program"
186,William F Ryan,Edward A Reynolds West Side High School,"140 West 102 Street New York, NY, 10025","03M505
79M984@M506",Edward A. Reynolds West Side High School LYFE
187,William F Ryan,Park West Campus,"525 West 50 Street New York, NY, 10019","02M288
02M296
02M300
02M303
02M542 M138@02M303 M138@02M535","Food And Finance High School
High School Of Hospitality Management
Urban Assembly School Of Design And Construction, The
Facing History School, The Manhattan Bridges High School D75 Program
D75 Program"
