Geographical District Code,Building Code,ATS System Code,Location Name,Primary Address,City,Zip,Service
7,X884,07X670,Health Opportunities High School,350 GERARD AVENUE,BRONX,10451,School-based Health Center w/ Mental Health
8,X071,08X071,P.S. 071 Rose E. Scala,3040 ROBERTS AVENUE,BRONX,10461,School Mental Health Specialist Program
8,X075,08X075,P.S. 75 School of Research and Discovery,984 FAILE STREET,BRONX,10459,School Mental Health Specialist Program
8,X101,08X101,M.S. X101 Edward R. Byrne,2750 LAFAYETTE AVENUE,BRONX,10465,School Response Team
8,X123,08X123,J.H.S. 123 James M. Kieran,1025 MORRISON AVENUE,BRONX,10472,Community School MH
8,X130,08X130,P.S. 130 Abram Stevens Hewitt,750 PROSPECT AVENUE,BRONX,10455,School Mental Health Specialist Program
8,X131,08X131,J.H.S. 131 Albert Einstein,885 BOLTON AVENUE,BRONX,10473,Community School MH
8,X140,08X140,P.S. X140 The Eagle School,916 EAGLE AVENUE,BRONX,10456,School Mental Health Specialist Program
8,X146,08X146,P.S. 146 Edward Collins,968 CAULDWELL AVENUE,BRONX,10456,School Mental Health Specialist Program
8,X392,08X269,Bronx Studio School for Writers and Artists,928 SIMPSON STREET,BRONX,10459,Community School MH
8,X174,08X282,Women's Academy of Excellence,456 WHITE PLAINS ROAD,BRONX,10473,School-based Health Center w/ Mental Health
11,X405,08X293,Renaissance High School for Musical Theater and the Arts,3000 EAST TREMONT AVENUE,BRONX,10461,School-based Health Center w/ Mental Health
8,X120,08X301,M.S. 301 Paul L. Dunbar,890 CAULDWELL AVENUE,BRONX,10456,Community School MH
8,X052,08X302,M.S. 302 Luisa Dessus Cruz,681 KELLY STREET,BRONX,10455,School Mental Health Specialist Program
8,X450,08X312,Millennium Art Academy,1980 LAFAYETTE AVENUE,BRONX,10473,School-based Health Center w/ Mental Health
11,X405,08X320,Pelham Lab High School,3000 EAST TREMONT AVENUE,BRONX,10461,School-based Health Center w/ Mental Health
8,X060,08X333,The Longwood Academy of Discovery,888 REV J A POLITE AVE,BRONX,10459,School-based Mental Health Clinic
8,X123,08X337,The School for Inquiry and Social Justice,1025 MORRISON AVENUE,BRONX,10472,School-based Health Center w/ Mental Health
11,X405,08X348,Schuylerville Preparatory High School,3000 EAST TREMONT AVENUE,BRONX,10461,School-based Health Center w/ Mental Health
11,X405,08X349,Bronx River High School,3000 EAST TREMONT AVENUE,BRONX,10461,School-based Health Center w/ Mental Health
8,X174,08X367,"Archimedes Academy for Math, Science and Technology Applications",456 WHITE PLAINS ROAD,BRONX,10473,School-based Health Center w/ Mental Health
8,X192,08X371,Urban Institute of Mathematics,650 HOLLYWOOD AVENUE,BRONX,10465,Community School MH
8,X174,08X375,The Bronx Mathematics Preparatory School,456 WHITE PLAINS ROAD,BRONX,10473,Community School MH
8,X450,08X376,Antonia Pantoja Preparatory Academy: A College Board School,1980 LAFAYETTE AVENUE,BRONX,10473,School-based Health Center w/ Mental Health
8,X450,08X377,Bronx Community High School,1980 LAFAYETTE AVENUE,BRONX,10473,School-based Health Center w/ Mental Health
8,X192,08X392,Bronx Delta School,650 HOLLYWOOD AVENUE,BRONX,10465,School-based Mental Health Clinic
11,X405,08X405,Herbert H. Lehman High School,3000 EAST TREMONT AVENUE,BRONX,10461,Community School MH
8,X074,08X424,Bronx Academy for Multi-Media,730 BRYANT AVENUE,BRONX,10474,Community School MH
8,X450,08X432,Bronx Bridges High School,1980 LAFAYETTE AVENUE,BRONX,10473,School-based Health Center w/ Mental Health
8,X131,08X448,Soundview Academy for Culture and Scholarship,885 BOLTON AVENUE,BRONX,10473,Community School MH
8,X450,08X452,Gotham Collaborative High School,1980 LAFAYETTE AVENUE,BRONX,10473,School-based Health Center w/ Mental Health
8,X192,08X467,Mott Hall Community School,650 HOLLYWOOD AVENUE,BRONX,10465,Community School MH
8,X039,08X530,Longwood Preparatory Academy,965 LONGWOOD AVENUE,BRONX,10459,Community School MH
11,X405,08X558,Westchester Square Academy,3000 EAST TREMONT AVENUE,BRONX,10461,School-based Health Center w/ Mental Health
8,X650,08X559,School for Tourism and Hospitality,900 TINTON AVENUE,BRONX,10456,School-based Health Center w/ Mental Health
8,X450,08X561,Bronx Compass High School,1980 LAFAYETTE AVENUE,BRONX,10473,School-based Health Center w/ Mental Health
8,X125,08X562,Blueprint Middle School,1111 PUGSLEY AVENUE,BRONX,10472,School Mental Health Specialist Program
9,X022,09X022,J.H.S. 022 Jordan L. Mott,270 EAST 167 STREET,BRONX,10456,Community School MH
9,X028,09X028,P.S. 028 Mount Hope,1861 ANTHONY AVENUE,BRONX,10457,School-based Health Center w/ Mental Health
9,X035,09X035,P.S. 035 Franz Siegel,261 EAST 163 STREET,BRONX,10451,School Mental Health Specialist Program
9,X042,09X042,P.S. 042 Claremont,1537 WASHINGTON AVENUE,BRONX,10457,Community School MH
9,X055,09X055,P.S. 055 Benjamin Franklin,450 SAINT PAUL'S PLACE,BRONX,10456,Community School MH
9,X063,09X063,P.S. 063 Author's Academy,1260 FRANKLIN AVENUE,BRONX,10456,School Mental Health Specialist Program
9,X070,09X070,P.S. 070 Max Schoenfeld,1691 WEEKS AVENUE,BRONX,10457,School Mental Health Specialist Program
9,X109,09X109,P.S. 109 Sedgwick,1771 POPHAM AVENUE,BRONX,10453,School Mental Health Specialist Program
9,X114,09X114,P.S. X114 - Luis Llorens Torres Schools,1155 CROMWELL AVENUE,BRONX,10452,School Mental Health Specialist Program
9,X117,09X117,I.S. 117 Joseph H. Wade,1865 MORRIS AVENUE,BRONX,10453,Community School MH
9,X126,09X126,P.S. 126 Dr Marjorie H Dunbar,175 WEST 166 STREET,BRONX,10452,School-based Health Center w/ Mental Health
9,X110,09X128,Mott Hall III,580 CROTONA PARK SOUTH,BRONX,10456,School Mental Health Specialist Program
9,X104,09X199,P.S. 199X - The Shakespeare School,1449 SHAKESPEARE AVENUE,BRONX,10452,School-based Health Center w/ Mental Health
9,X338,09X204,P.S. 204 Morris Heights,1780 DR. MARTIN LUTHER KING JR. BLVD,BRONX,10453,School Mental Health Specialist Program
9,X148,09X215,Kappa,3630 THIRD AVENUE,BRONX,10456,School-based Health Center w/ Mental Health
9,X235,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,1220 GERARD AVENUE,BRONX,10452,School Mental Health Specialist Program
9,X148,09X219,I.S. 219 New Venture School,3630 THIRD AVENUE,BRONX,10456,Community School MH
9,X410,09X227,Bronx Collegiate Academy,240 EAST 172 STREET,BRONX,10457,Community School MH
9,X229,09X229,I.S. 229 Roland Patterson,275 HARLEM RIVER PARK BRIDGE,BRONX,10453,School Mental Health Specialist Program
9,X465,09X231,Eagle Academy for Young Men,4143 THIRD AVENUE,BRONX,10457,Prevention Intervention Program MH
9,X082,09X232,I.S. 232,1700 MACOMBS ROAD,BRONX,10453,School-based Health Center w/ Mental Health
9,X002,09X250,Eximius College Preparatory Academy: A College Board School,1363 FULTON AVENUE,BRONX,10456,School Mental Health Specialist Program
9,X970,09X252,Mott Hall Bronx High School,1595 BATHGATE AVENUE,BRONX,10457,School Mental Health Specialist Program
9,X002,09X260,Bronx Center for Science and Mathematics,1363 FULTON AVENUE,BRONX,10456,School Mental Health Specialist Program
9,X970,09X263,Validus Preparatory Academy,1595 BATHGATE AVENUE,BRONX,10457,School Mental Health Specialist Program
9,X229,09X274,The New American Academy at Roberto Clemente State Park,275 HARLEM RIVER PARK BRIDGE,BRONX,10453,School Mental Health Specialist Program
9,X064,09X294,The Walton Avenue School,1425 WALTON AVENUE,BRONX,10452,Community School MH
9,X400,09X297,Morris Academy for Collaborative Studies,1110 BOSTON ROAD,BRONX,10456,Community School MH
9,X082,09X303,I.S. X303 Leadership & Community Service,1700 MACOMBS ROAD,BRONX,10453,School-based Health Center w/ Mental Health
9,X064,09X311,Lucero Elementary School,1425 WALTON AVENUE,BRONX,10452,Community School MH
9,X147,09X313,I.S. 313 School of Leadership Development,1600 WEBSTER AVENUE,BRONX,10457,Community School MH
9,X022,09X323,Bronx Writing Academy,270 EAST 167 STREET,BRONX,10456,School-based Mental Health Clinic
9,X166,09X324,Bronx Early College Academy for Teaching & Learning,250 EAST 164 STREET,BRONX,10456,Community School MH
9,X240,09X327,Comprehensive Model School Project M.S. 327,1501 JEROME AVENUE,BRONX,10452,School-based Health Center w/ Mental Health
9,X145,09X328,New Millennium Bronx Academy of the Arts,1000 TELLER AVENUE,BRONX,10456,Community School MH
9,X410,09X329,DreamYard Preparatory School,240 EAST 172 STREET,BRONX,10457,Community School MH
9,X147,09X339,I.S. 339,1600 WEBSTER AVENUE,BRONX,10457,Community School MH
9,X410,09X350,New Directions Secondary School,240 EAST 172 STREET,BRONX,10457,School-based Health Center w/ Mental Health
9,X082,09X365,Academy for Language and Technology,1700 MACOMBS ROAD,BRONX,10453,School-based Health Center w/ Mental Health
9,X400,09X403,Bronx International High School,1110 BOSTON ROAD,BRONX,10456,School-based Health Center w/ Mental Health
9,X400,09X404,School for Excellence,1110 BOSTON ROAD,BRONX,10456,School-based Health Center w/ Mental Health
9,X410,09X412,Bronx High School of Business,240 EAST 172 STREET,BRONX,10457,Community School MH
9,X410,09X413,Bronx High School for Medical Science,240 EAST 172 STREET,BRONX,10457,School-based Health Center w/ Mental Health
9,X090,09X443,The Family School,1116 SHERIDAN AVENUE,BRONX,10456,School Mental Health Specialist Program
9,X166,09X449,Grant Avenue Elementary School,250 EAST 164 STREET,BRONX,10456,School-based Health Center w/ Mental Health
9,X166,09X454,Science and Technology Academy: A Mott Hall School,250 EAST 164 STREET,BRONX,10456,School-based Health Center w/ Mental Health
9,X090,09X457,Sheridan Academy for Young Leaders,1116 SHERIDAN AVENUE,BRONX,10456,School Mental Health Specialist Program
9,X460,09X505,"Bronx School for Law, Government and Justice",244 EAST 163 STREET,BRONX,10451,School Mental Health Specialist Program
9,X148,09X517,Frederick Douglass Academy III Secondary School,3630 THIRD AVENUE,BRONX,10456,Community School MH
9,X876,09X525,Bronx Leadership Academy High School,1710 WEBSTER AVENUE,BRONX,10457,Community School MH
9,X400,09X543,High School for Violin and Dance,1110 BOSTON ROAD,BRONX,10456,School-based Health Center w/ Mental Health
9,X240,09X555,Mount Eden Children's Academy,1501 JEROME AVENUE,BRONX,10452,School-based Health Center w/ Mental Health
9,X410,09X564,Claremont International HS,240 EAST 172 STREET,BRONX,10457,School-based Health Center w/ Mental Health
9,X117,09X568,Young Women's Leadership School of the Bronx,1865 MORRIS AVENUE,BRONX,10453,School-based Mental Health Clinic
9,X145,09X593,South Bronx International Middle School,1000 TELLER AVENUE,BRONX,10456,Community School MH
9,X145,09X594,M.S. 594,1000 TELLER AVENUE,BRONX,10456,Community School MH
10,X003,10X003,P.S. 3 Raul Julia Micro Society,2100 LAFONTAINE AVENUE,BRONX,10457,School Mental Health Specialist Program
10,X007,10X007,Milton Fein School,3201 KINGSBRIDGE AVENUE,BRONX,10463,School-based Mental Health Clinic
10,X008,10X008,P.S. 008 Isaac Varian,3010 BRIGGS AVENUE,BRONX,10458,School-based Health Center w/ Mental Health
10,X015,10X015,P.S. X015 Institute for Environmental Learning,2195 ANDREWS AVENUE,BRONX,10453,School Mental Health Specialist Program
10,X020,10X020,"PS/MS 20 P.O.George J. Werdann, III",3050 WEBSTER AVENUE,BRONX,10467,School Response Team
10,X023,10X023,P.S. 023 The New Children's School,2151 WASHINGTON AVENUE,BRONX,10457,School Mental Health Specialist Program
10,X032,10X032,P.S. 032 Belmont,690 EAST 183 STREET,BRONX,10458,School-based Mental Health Clinic
10,X037,10X037,P.S. X037 - Multiple Intelligence School,360 WEST 230 STREET,BRONX,10463,School Mental Health Specialist Program
10,X045,10X045,Thomas C. Giordano Middle School 45,2502 LORILLARD PLACE,BRONX,10458,School-based Health Center w/ Mental Health
10,X059,10X059,P.S. 059 The Community School of Technology,2185 BATHGATE AVENUE,BRONX,10457,School Mental Health Specialist Program
10,X080,10X080,J.H.S. 080 The Mosholu Parkway,149 EAST MOSHOLU PKWY N,BRONX,10467,Community School MH
10,X085,10X085,P.S. 085 Great Expectations,2400 MARION AVENUE,BRONX,10458,Community School MH
10,X095,10X095,P.S. 095 Sheila Mencher,3961 HILLMAN AVENUE,BRONX,10463,School-based Health Center w/ Mental Health
10,X118,10X118,J.H.S. 118 William W. Niles,577 EAST 179 STREET,BRONX,10457,School-based Mental Health Clinic
10,X141,10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),660 West 237 Street,Bronx,10463,Prevention Intervention Program MH
10,X205,10X205,P.S. 205 Fiorello LaGuardia,2475 SOUTHERN BOULEVARD,BRONX,10458,School-based Mental Health Clinic
10,X206,10X206,I.S. 206 Ann Mersereau,2280 AQUEDUCT AVENUE,BRONX,10468,School Mental Health Specialist Program
10,X475,10X213,Bronx Engineering and Technology Academy,99 TERRACE VIEW AVENUE,BRONX,10463,School-based Health Center w/ Mental Health
10,X137,10X225,Theatre Arts Production Company School,2225 WEBSTER AVENUE,BRONX,10457,School-based Health Center w/ Mental Health
10,X826,10X226,P.S. 226,1950 SEDGWICK AVENUE,BRONX,10453,School Mental Health Specialist Program
10,X283,10X228,Jonas Bronck Academy,400 EAST FORDHAM ROAD,BRONX,10458,School Response Team
10,X143,10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",120 WEST 231 STREET,BRONX,10463,School-based Health Center w/ Mental Health
10,X435,10X243,West Bronx Academy for the Future,500 EAST FORDHAM ROAD,BRONX,10458,School-based Health Center w/ Mental Health
10,X143,10X244,The New School for Leadership and Journalism,120 WEST 231 STREET,BRONX,10463,School-based Health Center w/ Mental Health
10,X254,10X254,I.S. 254,2452 WASHINGTON AVENUE,BRONX,10458,School Response Team
10,X660,10X264,Bronx Academy for Software Engineering (BASE),2474 CROTONA AVENUE,BRONX,10458,School-based Health Center w/ Mental Health
10,X430,10X268,Kingsbridge International High School,2780 RESERVOIR AVENUE,BRONX,10468,School-based Health Center w/ Mental Health
10,X279,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2100 WALTON AVENUE,BRONX,10453,School-based Health Center w/ Mental Health
10,X080,10X280,P.S./M.S. 280 Mosholu Parkway,3202 STEUBEN AVENUE,BRONX,10467,School-based Mental Health Clinic
10,X475,10X284,Bronx School of Law and Finance,99 TERRACE VIEW AVENUE,BRONX,10463,School-based Health Center w/ Mental Health
10,X306,10X306,P.S. 306,40 WEST TREMONT AVENUE,BRONX,10453,School-based Health Center w/ Mental Health
10,X852,10X308,Bronx Dance Academy School,3617 BAINBRIDGE AVENUE,BRONX,10467,School Mental Health Specialist Program
10,X779,10X315,P.S. 315 Lab School,2865 CLAFLIN AVENUE,BRONX,10468,School Mental Health Specialist Program
10,X306,10X331,The Bronx School of Young Leaders,40 WEST TREMONT AVENUE,BRONX,10453,Community School MH
10,X430,10X342,International School for Liberal Arts,2780 RESERVOIR AVENUE,BRONX,10468,School-based Health Center w/ Mental Health
10,X095,10X344,Ampark Neighborhood,3961 HILLMAN AVENUE,BRONX,10463,School-based Health Center w/ Mental Health
10,X440,10X351,Bronx Collaborative High School,100 WEST MOSHOLU PARKWAY SOUTH,BRONX,10468,School-based Health Center w/ Mental Health
10,X440,10X353,World View High School,100 WEST MOSHOLU PARKWAY SOUTH,BRONX,10468,School-based Health Center w/ Mental Health
10,X115,10X363,Academy For Personal Leadership And Excellence,120 EAST 184 STREET,BRONX,10468,Community School MH
10,X368,10X368,In-Tech Academy (M.S. / High School 368),2975 TIBBETT AVENUE,BRONX,10463,School-based Health Center w/ Mental Health
10,X435,10X374,Knowledge and Power Preparatory Academy International High School (Kappa),500 EAST FORDHAM ROAD,BRONX,10458,School-based Health Center w/ Mental Health
10,X079,10X382,"Elementary School for Math, Science, and Technology",125 EAST 181 STREET,BRONX,10453,School-based Health Center w/ Mental Health
10,X079,10X386,School for Environmental Citizenship,125 EAST 181 STREET,BRONX,10453,School-based Health Center w/ Mental Health
10,X026,10X390,M.S. 390,1930 ANDREWS AVENUE,BRONX,10453,School-based Health Center w/ Mental Health
10,X137,10X391,The Angelo Patri Middle School,2225 WEBSTER AVENUE,BRONX,10457,Community School MH
10,X026,10X396,P.S. 396,1930 ANDREWS AVENUE,BRONX,10453,School-based Health Center w/ Mental Health
10,X475,10X397,English Language Learners and International Support Preparatory Academy (ELLIS),99 TERRACE VIEW AVENUE,BRONX,10463,School-based Health Center w/ Mental Health
10,X430,10X433,High School for Teaching and the Professions,2780 RESERVOIR AVENUE,BRONX,10468,Community School MH
10,X435,10X434,Belmont Preparatory High School,500 EAST FORDHAM ROAD,BRONX,10458,School-based Health Center w/ Mental Health
10,X435,10X437,Fordham High School for the Arts,500 EAST FORDHAM ROAD,BRONX,10458,School-based Health Center w/ Mental Health
10,X435,10X438,Fordham Leadership Academy,500 EAST FORDHAM ROAD,BRONX,10458,Community School MH
10,X435,10X439,Bronx High School for Law and Community Service,500 EAST FORDHAM ROAD,BRONX,10458,School-based Health Center w/ Mental Health
10,X440,10X440,DeWitt Clinton High School,100 WEST MOSHOLU PARKWAY SOUTH,BRONX,10468,Community School MH
10,X430,10X442,"Celia Cruz Bronx High School of Music, The",2780 RESERVOIR AVENUE,BRONX,10468,School-based Health Center w/ Mental Health
10,X445,10X445,The Bronx High School of Science,75 WEST 205 STREET,BRONX,10468,School-based Mental Health Clinic
10,X079,10X447,Creston Academy,125 EAST 181 STREET,BRONX,10453,School-based Health Center w/ Mental Health
10,X475,10X477,Marble Hill High School for International Studies,99 TERRACE VIEW AVENUE,BRONX,10463,School-based Health Center w/ Mental Health
10,X660,10X524,Crotona International High School,2474 CROTONA AVENUE,BRONX,10458,School-based Health Center w/ Mental Health
10,X475,10X546,Bronx Theatre High School,99 TERRACE VIEW AVENUE,BRONX,10463,School-based Health Center w/ Mental Health
10,X430,10X549,Discovery High School,2780 RESERVOIR AVENUE,BRONX,10468,School-based Health Center w/ Mental Health
10,X660,10X565,High School for Energy and Technology,2474 CROTONA AVENUE,BRONX,10458,School-based Health Center w/ Mental Health
10,X905,10X696,High School of American Studies at Lehman College,2925 GOULDEN AVENUE,BRONX,10468,School-based Mental Health Clinic
11,X019,11X019,P.S. 019 Judith K. Weiss,311 East 237th Street,Bronx,10470,School Mental Health Specialist Program
11,X041,11X041,P.S. 041 Gun Hill Road,3352 OLINVILLE AVENUE,BRONX,10467,School-based Mental Health Clinic
11,X083,11X083,P.S. 083 Donald Hertz,950 RHINELANDER AVENUE,BRONX,10462,School-based Mental Health Clinic
11,X089,11X089,P.S. 089 Bronx,980 MACE AVENUE,BRONX,10469,School Mental Health Specialist Program
11,X105,11X105,P.S. 105 Sen Abraham Bernstein,725 BRADY AVENUE,BRONX,10462,School-based Health Center w/ Mental Health
11,X112,11X112,P.S. 112 Bronxwood,1925 SCHIEFFELIN AVENUE,BRONX,10466,Community School MH
11,X127,11X127,J.H.S. 127 The Castle Hill,1560 PURDY STREET,BRONX,10462,School Response Team
11,X144,11X144,J.H.S. 144 Michelangelo,2545 GUNTHER AVENUE,BRONX,10469,School Mental Health Specialist Program
11,X175,11X175,P.S. 175 City Island,200 CITY ISLAND AVENUE,BRONX,10464,School Mental Health Specialist Program
11,X180,11X180,M.S. 180 Dr. Daniel Hale Williams,700 BAYCHESTER AVENUE,BRONX,10475,School Mental Health Specialist Program
11,X181,11X181,I.S. 181 Pablo Casals,800 BAYCHESTER AVENUE,BRONX,10475,School Mental Health Specialist Program
11,X189,11X189,Cornerstone Academy for Social Action,3441 STEENWICK AVENUE,BRONX,10475,School-based Mental Health Clinic
11,X194,11X194,P.S./M.S. 194,2365 WATERBURY AVENUE,BRONX,10462,School Mental Health Specialist Program
11,X455,11X249,Bronx Health Sciences High School,750 BAYCHESTER AVENUE,BRONX,10475,School-based Health Center w/ Mental Health
11,X425,11X253,Bronx High School for Writing and Communication Arts,800 EAST GUN HILL ROAD,BRONX,10467,School-based Health Center w/ Mental Health
11,X425,11X265,Bronx Lab School,800 EAST GUN HILL ROAD,BRONX,10467,School-based Health Center w/ Mental Health
11,X362,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,921 EAST 228TH STREET,BRONX,10466,School-based Health Center w/ Mental Health
11,X425,11X275,High School of Computers and Technology,800 EAST GUN HILL ROAD,BRONX,10467,School-based Health Center w/ Mental Health
11,X113,11X287,North Bronx School of Empowerment,3710 BARNES AVENUE,BRONX,10467,Community School MH
11,X415,11X288,Collegiate Institute for Math and Science,925 ASTOR AVENUE,BRONX,10469,School-based Health Center w/ Mental Health
11,X425,11X290,Bronx Academy of Health Careers,800 EAST GUN HILL ROAD,BRONX,10467,School-based Health Center w/ Mental Health
11,X415,11X299,Astor Collegiate Academy,925 ASTOR AVENUE,BRONX,10469,School-based Health Center w/ Mental Health
11,X135,11X326,Bronx Green Middle School,2441 WALLACE AVENUE,BRONX,10467,School Mental Health Specialist Program
11,X142,11X355,Bronx Alliance Middle School,3750 BAYCHESTER AVENUE,BRONX,10466,School-based Health Center w/ Mental Health
11,X292,11X357,Young Voices Academy of the Bronx,800 LYDIG AVENUE,BRONX,10462,School-based Mental Health Clinic
11,X113,11X370,Leaders of Tomorrow,3710 BARNES AVENUE,BRONX,10467,Community School MH
11,X839,11X418,Bronx High School for the Visual Arts,2040 ANTIN PL,BRONX,10462,School Mental Health Specialist Program
11,X455,11X455,Harry S Truman High School,750 BAYCHESTER AVENUE,BRONX,10475,School-based Health Center w/ Mental Health
11,X189,11X462,Cornerstone Academy for Social Action Middle School (CASA),3441 STEENWICK AVENUE,BRONX,10475,School-based Mental Health Clinic
11,X135,11X468,Pelham Academy of Academics and Community Engagement,2441 WALLACE AVENUE,BRONX,10467,School Mental Health Specialist Program
11,X498,11X498,P.S./M.S. 11X498 - Van Nest Academy,1640 BRONXDALE AVE,BRONX,10462,School Mental Health Specialist Program
11,X415,11X508,Bronxdale High School,925 ASTOR AVENUE,BRONX,10469,School-based Health Center w/ Mental Health
11,X415,11X509,High School of Language and Innovation,925 ASTOR AVENUE,BRONX,10469,School-based Health Center w/ Mental Health
11,X362,11X513,New World High School,921 EAST 228TH STREET,BRONX,10466,School-based Health Center w/ Mental Health
11,X362,11X514,The Bronxwood Preparatory Academy,921 EAST 228TH STREET,BRONX,10466,School-based Health Center w/ Mental Health
11,X142,11X529,One World Middle School at Edenwald,3750 BAYCHESTER AVENUE,BRONX,10466,School-based Health Center w/ Mental Health
11,X142,11X532,Baychester Middle School,3750 BAYCHESTER AVENUE,BRONX,10466,School-based Health Center w/ Mental Health
11,X415,11X542,Pelham Preparatory Academy,925 ASTOR AVENUE,BRONX,10469,School-based Health Center w/ Mental Health
11,X425,11X544,High School for Contemporary Arts,800 EAST GUN HILL ROAD,BRONX,10467,School-based Health Center w/ Mental Health
11,X425,11X545,Bronx Aerospace High School,800 EAST GUN HILL ROAD,BRONX,10467,School-based Health Center w/ Mental Health
11,X135,11X556,Bronx Park Middle School,2441 WALLACE AVENUE,BRONX,10467,School Mental Health Specialist Program
11,X144,11X566,Pelham Gardens Middle School,2545 GUNTHER AVENUE,BRONX,10469,School Mental Health Specialist Program
12,X006,12X006,P.S. 006 West Farms,1000 EAST TREMONT AVENUE,BRONX,10460,School Mental Health Specialist Program
12,X061,12X061,P.S. 061 Francisco Oller,1550 CROTONA PARK EAST,BRONX,10460,School-based Mental Health Clinic
12,X066,12X066,P.S. 066 School of Higher Expectations,1001 JENNINGS STREET,BRONX,10460,School-based Health Center w/ Mental Health
12,X098,12X098,J.H.S. 098 Herman Ridder,1619 BOSTON ROAD,BRONX,10460,School-based Health Center w/ Mental Health
12,X129,12X129,M.S. 129 Academy for Independent Learning and Leadership,2055 MAPES AVENUE,BRONX,10460,School Response Team
12,X150,12X150,P.S. 150 Charles James Fox,920 EAST 167 STREET,BRONX,10459,School Mental Health Specialist Program
12,X061,12X190,E.S.M.T- I.S. 190,1550 CROTONA PARK EAST,BRONX,10460,School-based Mental Health Clinic
12,X193,12X211,P.S. 211,1919 PROSPECT AVENUE,BRONX,10457,Community School MH
12,X167,12X214,P.S. 214,1970 WEST FARMS ROAD,BRONX,10460,School Mental Health Specialist Program
12,X116,12X217,School of Performing Arts,977 FOX STREET,BRONX,10459,Community School MH
12,X423,12X242,Mott Hall V,1551 EAST 172ND STREET,BRONX,10472,Prevention Intervention Program MH
12,X099,12X248,"Metropolitan High School, The",1180 REV. J.A. POLITE AVE.,BRONX,10459,Community School MH
12,X098,12X251,Explorations Academy H.S.,1619 BOSTON ROAD,BRONX,10460,School-based Health Center w/ Mental Health
12,X158,12X267,Bronx Latin,800 HOME STREET,BRONX,10456,School-based Health Center w/ Mental Health
12,X973,12X271,East Bronx Academy for the Future,1716 SOUTHERN BOULEVARD,BRONX,10460,Community School MH
12,X057,12X273,Frederick Douglass Academy V. Middle School,2111 CROTONA AVENUE,BRONX,10457,School Mental Health Specialist Program
12,X066,12X286,Fannie Lou Hamer Middle School,1001 JENNINGS STREET,BRONX,10460,Community School MH
12,X234,12X300,The School of Science and Applied Learning,2050 PROSPECT AVENUE,BRONX,10457,School Mental Health Specialist Program
12,X129,12X316,Kappa III,2055 MAPES AVENUE,BRONX,10460,School Mental Health Specialist Program
12,X116,12X341,Accion Academy,977 FOX STREET,BRONX,10459,Community School MH
12,X167,12X383,Emolior Academy,1970 WEST FARMS ROAD,BRONX,10460,School Mental Health Specialist Program
12,X420,12X388,Pan American International High School at Monroe,1300 BOYNTON AVENUE,BRONX,10472,School-based Health Center w/ Mental Health
12,X401,12X446,Arturo A. Schomburg Satellite Academy Bronx,1010 REV. J. A. POLITE AVENUE,BRONX,10459,School-based Health Center w/ Mental Health
12,X198,12X463,Urban Scholars Community School,1180 TINTON AVENUE,BRONX,10456,Community School MH
12,X423,12X478,The Cinema School,1551 EAST 172ND STREET,BRONX,10472,School-based Health Center w/ Mental Health
12,X158,12X479,Bronx Career and College Preparatory High School,800 HOME STREET,BRONX,10456,Community School MH
12,X401,12X480,Bronx Regional High School,1010 REV. J. A. POLITE AVENUE,BRONX,10459,School-based Health Center w/ Mental Health
12,X098,12X511,Bronx Envision Academy,1619 BOSTON ROAD,BRONX,10460,School-based Health Center w/ Mental Health
12,X420,12X521,The Metropolitan Soundview High School,1300 BOYNTON AVENUE,BRONX,10472,School-based Health Center w/ Mental Health
12,X420,12X550,High School of World Cultures,1300 BOYNTON AVENUE,BRONX,10472,School-based Health Center w/ Mental Health
12,X092,12X595,P.S. 595,700 EAST 179 STREET,BRONX,10457,Community School MH
12,X879,12X684,Wings Academy,1122 EAST 180 STREET,BRONX,10460,School Mental Health Specialist Program
13,K003,13K003,P.S. 003 The Bedford Village,50 JEFFERSON AVENUE,BROOKLYN,11216,H+H School
13,K009,13K009,Public School 9 The Sarah Smith Garnet School,80 UNDERHILL AVENUE,BROOKLYN,11238,H+H School
13,K011,13K011,P.S. 011 Purvis J. Behan,419 WAVERLY AVENUE,BROOKLYN,11238,H+H School
13,K020,13K020,P.S. 020 Clinton Hill,225 ADELPHI STREET,BROOKLYN,11205,School-based Mental Health Clinic
13,K044,13K044,P.S. 044 Marcus Garvey,432 MONROE STREET,BROOKLYN,11221,H+H School
13,K054,13K054,P.S. 054 Samuel C. Barnes,195 SANDFORD STREET,BROOKLYN,11205,H+H School
13,K056,13K056,P.S. 056 Lewis H. Latimer,170 GATES AVENUE,BROOKLYN,11238,H+H School
13,K067,13K067,P.S. 067 Charles A. Dorsey,51 SAINT EDWARDS STREET,BROOKLYN,11205,Community School MH
13,K093,13K093,P.S. 093 William H. Prescott,31 NEW YORK AVENUE,BROOKLYN,11216,H+H School
13,K113,13K113,M.S. 113 Ronald Edmonds Learning Center,300 ADELPHI STREET,BROOKLYN,11205,H+H School
13,K265,13K265,Dr. Susan S. McKinney Secondary School of the Arts,101 PARK AVENUE,BROOKLYN,11205,H+H School
